Do you think the use ChatGPT is considered plagiarism?,Do you think that the use of AI tools such as ChatGPT would inhibit education?,What would be the use of ChatGPT by students/you? choose all that apply.,"If you are currently in post secondary, what is your year of study?","Should ChatGPT be banned in educational institutions, or should systems be adapted to coexist with it? ",What is your age ?,What is your highest level of education (or currently in)?,What is your gender?,What is your desired occupation?,Do you think that ChatGPT will replace you in your occupation/future occupation?,Balancing Efficiency and Authentic Learning: Would You Use ChatGPT to Save Time? ,What do you think is the biggest harm of ChatGPT to the learning experience of students?,Would you recommend the use of ChatGPT to other students?,"Do you believe that ChatGPT provides accurate and reliable information?
","If ChatGPT is used in education, under what circumstances would it be used (if any)?",What is you ethnicity?
It depends on the context,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Research assistance: assist with research and answer specific questions.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,Biotechnology ,It will be adapted to coexist with you,Yes,Potential for plagiarism,Yes,Maybe,"Save time, Help brainstorm, Teach a confusing concept, Research",Asian or Asian American
It depends on the context,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Mental health support: offer emotional support and guidance for mental health issues., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,Software Developer,It will be adapted to coexist with you,Yes,diminish the value of original thought and creativity,Yes,Yes,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",Asian or Asian American
No,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Personal development: tutorials and instructions for learning new skills like coding and cooking.",,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,,No,Yes,Potential for plagiarism,Yes,Yes,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",Asian or Asian American
It depends on the context,Yes,"Research assistance: assist with research and answer specific questions., Personal development: tutorials and instructions for learning new skills like coding and cooking.",1,ChatGPT is not reliable enough to be used in education or professionally,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,,It will be adapted to coexist with you,Yes,Over-reliance on technology,No,Maybe,"Teach a confusing concept, Research",Asian or Asian American
Yes,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Academic misconduct",1,It should be banned,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,Software engineer ,It will be adapted to coexist with you,Maybe,diminish the value of original thought and creativity,No,Yes,"Help brainstorm, Teach a confusing concept, Research",Asian or Asian American
It depends on the context,Yes,"Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Female,,It will be adapted to coexist with you,Maybe,diminish the value of original thought and creativity,Yes,Maybe,"Essay proofreading/grammar checking, Enhancing the learning experience for students and teachers",Hispanic or Latino/Latina
if you are blatantly copying and pasting then yes itâ€™s plagiarism as this is not your work. But if you are using the information give to build upon your own argument then itâ€™s not as itâ€™s almost like a suggestion for what to write and compiling hours worth of research into 1 hour ,it also depends as people who are smart and at a higher education can use it to be more efficient and learn from it as for younger non post secondary students it will inhibit the skills needed to first learn how to do research on your own.,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,education system should adapt in the future in a way that still influences learning ,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Female,economics analysts (tech companyâ€™s),It will be adapted to coexist with you,Yes,Over-reliance on technology,"depends on who (age, program, experience, etc)",it depends on what you are using as some may have diminishing knowledge before 2019,"Save time, Help brainstorm, Teach a confusing concept, Research, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",why does this matter ?
It depends on the context,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,Software Development,It will be adapted to coexist with you,Yes,"create a ""lazy"" learning culture among students",Yes,Maybe,"Help brainstorm, Enhancing the learning experience for students and teachers",Middle Eastern or Arab American
It's fine as long as references are used,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Mental health support: offer emotional support and guidance for mental health issues., Personal development: tutorials and instructions for learning new skills like coding and cooking.",1,The education system should adapt to coexist with it.,Young adult: 20-29 years,"Bachelor's degree (e.g. BA, BS)",Female,,Yes,Yes,Over-reliance on technology,Yes,Maybe,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",Prefer not to disclose
It's fine as long as references are used,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,Networking administrator,No,Yes,Over-reliance on technology,Yes,Yes,"Save time, Help brainstorm, Research, Essay proofreading/grammar checking",Asian or Asian American
No,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help., Academic misconduct",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,,It will be adapted to coexist with you,Yes,I do not believe ChatGPT poses any harms to the learning experience of students.,Yes,Maybe,"Help brainstorm, Research, Enhancing the learning experience for students and teachers",Prefer not to disclose
It's fine as long as references are used,No,"Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,,No,Yes,diminish the value of original thought and creativity,Yes,Maybe,"Teach a confusing concept, Research, Decreasing the workload of teachers",Prefer not to disclose
It depends on the context,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Female,,No,Yes,diminish the value of original thought and creativity,Yes,Yes,"Help brainstorm, Teach a confusing concept, Research, Enhancing the learning experience for students and teachers","Asian or Asian American, White or Caucasian"
It's fine as long as references are used,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., ChatGPT is very good for helping me learn how to code, as it answers very specific programming issues i might have that would be hard to find answers to online.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,Programmer,It will be adapted to coexist with you,Yes,Inaccuracy of generated responses,Yes,Maybe,"Help brainstorm, Teach a confusing concept",Asian or Asian American
Yes,Yes,I have never used ChatGPT,1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,Accountant,No,Yes,"create a ""lazy"" learning culture among students",No,Maybe,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",Asian or Asian American
It's fine as long as references are used,No,"Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Personal development: tutorials and instructions for learning new skills like coding and cooking.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,,It will be adapted to coexist with you,No,Inaccuracy of generated responses,Yes,Maybe,"Teach a confusing concept, Enhancing the learning experience for students and teachers",Asian or Asian American
It's fine as long as references are used,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,Mechanical Engineering,No,Yes,"create a ""lazy"" learning culture among students",Yes,"Sometimes, because itâ€™s information is only updated till 2021 and sometimes it doesnâ€™t know how to solve mathematical problems.","Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers",Asian or Asian American
It depends on the context,No,"Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,College or associate degree,Male,,No,Yes,"create a ""lazy"" learning culture among students",Yes,Maybe,"Help brainstorm, Essay proofreading/grammar checking",Prefer not to disclose
It's fine as long as references are used,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Mental health support: offer emotional support and guidance for mental health issues., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help., Academic misconduct",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,Engineer,Yes,Maybe,Over-reliance on technology,Yes,Maybe,"Save time, Help brainstorm, Teach a confusing concept, Research, Essay proofreading/grammar checking, Decreasing the workload of teachers, Enhancing the learning experience for students and teachers","Asian or Asian American, Middle Eastern or Arab American"
It's fine as long as references are used,Yes,"Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",3,ChatGPT is not reliable enough to be used in education or professionally,Young adult: 20-29 years,"Bachelor's degree (e.g. BA, BS)",Male,Computer Scientist,It will be adapted to coexist with you,Yes,"create a ""lazy"" learning culture among students",Yes,No,"Help brainstorm, Enhancing the learning experience for students and teachers",Middle Eastern or Arab American
It depends on the context,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas., Mental health support: offer emotional support and guidance for mental health issues., Personal development: tutorials and instructions for learning new skills like coding and cooking., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Female,,No,Maybe,"create a ""lazy"" learning culture among students",Yes,Maybe,"Help brainstorm, Teach a confusing concept, Essay proofreading/grammar checking",Asian or Asian American
Yes,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions., Language learning: help with language practice by providing translations, definitions, and pronunciation help.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Prefer not to say,,Yes,Yes,All of the above,Not sure,Yes,"Teach a confusing concept, Research",Asian or Asian American
It depends on the context,No,"Homework help: aid with homework by answering questions and guiding problem-solving., Study aid: helps with exam preparation by providing study materials such as flashcards and quizzes., Research assistance: assist with research and answer specific questions.",1,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,,It will be adapted to coexist with you,Maybe,hinder the development of communication and interpersonal skills,Yes,Maybe,"Research, Essay proofreading/grammar checking, Enhancing the learning experience for students and teachers",Middle Eastern or Arab American
It depends on the context,Yes,Research assistance: assist with research and answer specific questions.,,The education system should adapt to coexist with it.,Teenager:13-19 years,High school diploma or equivalent,Male,,No,Yes,Over-reliance on technology,No,Maybe,Save time,Prefer not to disclose
It depends on the context,Yes,"Homework help: aid with homework by answering questions and guiding problem-solving., Writing assistance:improves writing by suggesting sentence structures, correcting grammar, and generating ideas.",1,ChatGPT is not reliable enough to be used in education or professionally,Teenager:13-19 years,"Bachelor's degree (e.g. BA, BS)",Male,Computer programmer / web developer,It will be adapted to coexist with you,Maybe,Potential for plagiarism,Yes,Maybe,Research,Asian or Asian American
